case_id,setting,subject,subject_id,target_new,target_true,avg_new_dominance_generation,avg_true_dominance_generation,avg_dominance_diff_generation,relation_id,popularity_score,avg_conflict_pos,avg_true_dominance_generation_bucket_k3,avg_new_dominance_generation_bucket_k3,avg_dominance_diff_generation_bucket_k3,avg_conflict_pos_bucket_k3
14444,encyclopaedia,Dole Food Company,Q492747,Dresden,Hawaii,0.0952,0.6762,0.581,P740,285,4.6e-05,3,1,3,1
14527,encyclopaedia,Claude Antoine Dacosta,Q1096417,actor,politician,0.7714,0.0,-0.7714,P106,1,0.0,1,3,1,1
14571,encyclopaedia,Tomaso Albinoni,Q174606,guitar,violin,0.2853,0.5676,0.2824,P1303,133,0.030747,3,2,3,2
14633,encyclopaedia,Olga Vittoria Gentilli,Q3881639,French,Italian,0.43,0.11,-0.32,P1412,0,0.00061,1,2,1,1
14663,encyclopaedia,Marion Davies,Q242416,Paris,Brooklyn,0.1538,0.5,0.3462,P19,561,0.001855,2,1,3,1
14746,encyclopaedia,Transwede Airways,Q848881,London,Stockholm,0.775,0.0063,-0.7688,P159,6,0.000353,1,3,1,1
14795,encyclopaedia,Matthew Thornton,Q1368351,Dublin,Ireland,0.8625,0.9938,0.1312,P19,38,0.319802,3,3,2,3
14829,encyclopaedia,A Different World,Q1109026,CBS,NBC,0.175,0.6625,0.4875,P449,795,0.002095,3,1,3,1
14911,encyclopaedia,The Idle Race,Q1812612,Chicago,Birmingham,0.1962,0.4846,0.2885,P740,68,2.2e-05,2,1,3,1
14953,encyclopaedia,Millbrae station,Q6858585,Vienna,California,0.15,0.5941,0.4441,P131,21,0.001091,3,1,3,1
15127,encyclopaedia,Fiat Strada,Q2345964,Volvo,Fiat,0.2516,0.4859,0.2344,P176,132,0.001217,2,1,3,1
15322,encyclopaedia,Oklahoma,Q1649,Swedish,English,0.0694,0.4855,0.4161,P37,2838,0.000495,2,1,3,1
15388,encyclopaedia,Triumph TR6,Q2304746,Dodge,Triumph,0.196,0.516,0.32,P176,179,0.000636,3,1,3,1
15471,encyclopaedia,Beaumont Glacier,Q4877558,Africa,Antarctica,0.3761,0.3065,-0.0696,P30,0,0.026469,2,2,2,2
15508,encyclopaedia,Sam Mendes,Q223233,Hindi,English,0.0767,0.5967,0.52,P1412,2423,0.004822,3,1,3,1
15521,encyclopaedia,Suddenly Susan,Q643894,HBO,NBC,0.4938,0.475,-0.0188,P449,266,0.0,2,2,2,1
15572,encyclopaedia,"Matson, Inc.",Q6787989,London,Hawaii,0.1429,0.5143,0.3714,P159,97,0.000312,3,1,3,1
15584,encyclopaedia,Buichi Terasawa,Q2630137,France,Japan,0.1553,0.4079,0.2526,P27,24,0.001274,2,1,3,1
15669,encyclopaedia,Jean Vautrin,Q1685888,English,French,0.35,0.3958,0.0458,P103,7,0.008908,2,2,2,1
15703,encyclopaedia,First Barons' War,Q2086498,Chicago,England,0.1094,0.4719,0.3625,P276,364,4e-05,2,1,3,1
15733,encyclopaedia,Ark II,Q109659711,HBO,CBS,0.6687,0.125,-0.5437,P449,0,0.0,1,3,1,1
15777,encyclopaedia,Pandoh Dam,Q7130687,Portugal,India,0.1944,0.6306,0.4361,P17,12,0.000493,3,1,3,1
15846,encyclopaedia,Microsoft Office 97,Q1342266,Apple,Microsoft,0.1205,0.6284,0.508,P178,80,0.005232,3,1,3,1
15853,encyclopaedia,Sharmila Tagore,Q465830,Scientology,Islam,0.61,0.015,-0.595,P140,1415,0.0,1,3,1,1
15861,encyclopaedia,Abbas I of Persia,Q171349,Christianity,Islam,0.1708,0.5042,0.3333,P140,370,8.8e-05,2,1,3,1
16061,encyclopaedia,Douglas Lloyd Campbell,Q1252386,Milan,Winnipeg,0.85,0.0,-0.85,P20,5,0.0,1,3,1,1
16149,encyclopaedia,Robomodo,Q7353288,Houston,Chicago,0.875,0.275,-0.6,P740,9,0.040781,2,3,1,2
16204,encyclopaedia,Ameen Sayani,Q4742111,Poland,India,0.1333,0.2881,0.1548,P27,68,4.9e-05,2,1,2,1
16208,encyclopaedia,Errico Petrella,Q555720,English,Italian,0.4031,0.2214,-0.1816,P1412,1,0.005284,1,2,2,1
16260,encyclopaedia,Porsche 904,Q1475188,Nokia,Porsche,0.1603,0.4776,0.3172,P176,146,0.0,2,1,3,1
16301,encyclopaedia,Sobat River,Q821911,Antarctica,Africa,0.3655,0.4328,0.0672,P30,11,0.01669,2,2,2,2
16395,encyclopaedia,Husayn ibn Ali,Q112128,Judaism,Islam,0.08,0.554,0.474,P140,1122,0.001375,3,1,3,1
16465,encyclopaedia,The Answering Machine,Q114537562,Minneapolis,Manchester,0.8125,0.125,-0.6875,P740,0,0.013239,1,3,1,1
16591,encyclopaedia,Harashima,Q26450325,Poland,Japan,0.3969,0.2812,-0.1156,P27,0,0.009133,2,2,2,1
16619,encyclopaedia,Muriel Barbery,Q235731,Dutch,French,0.1053,0.5895,0.4842,P103,30,0.0,3,1,3,1
16716,encyclopaedia,Piramal Enterprises Ltd,Q7197697,Milan,Mumbai,0.2056,0.45,0.2444,P159,6,0.0,2,1,3,1
16778,encyclopaedia,Nate Robertson,Q3336514,quarterback,pitcher,0.4464,0.2036,-0.2429,P413,14,0.001058,1,2,2,1
16962,encyclopaedia,Javier Espinosa,Q103021500,outfielder,midfielder,0.78,0.0,-0.78,P413,0,0.0,1,3,1,1
16988,encyclopaedia,Knut Kristiansen,Q11981326,sitcom,jazz,0.7364,0.0,-0.7364,P136,0,3.3e-05,1,3,1,1
16994,encyclopaedia,Paulo Bento,Q316733,pitcher,midfielder,0.1538,0.5423,0.3885,P413,244,0.0,3,1,3,1
17016,encyclopaedia,Hawaii,Q782,Madrid,Honolulu,0.1,0.7556,0.6556,P36,7630,0.000383,3,1,3,1
17093,encyclopaedia,Jean Prouff,Q1685775,quarterback,midfielder,0.6375,0.0,-0.6375,P413,3,0.0,1,3,1,1
17102,encyclopaedia,Rhythm-a-Ning,Q7321878,funk,jazz,0.3917,0.3833,-0.0083,P136,0,0.00415,2,2,2,1
17204,encyclopaedia,Ronnie Foster,Q7365867,satire,jazz,0.1711,0.4526,0.2816,P136,38,1.7e-05,2,1,3,1
17213,encyclopaedia,Poland,Q36,German,Polish,0.1267,0.6333,0.5067,P37,7771,0.000152,3,1,3,1
17328,encyclopaedia,Xeon,Q656154,Honda,Intel,0.2471,0.4314,0.1843,P176,439,0.001208,2,1,2,1
17365,encyclopaedia,Euphrates,Q34589,Antarctica,Asia,0.3558,0.3256,-0.0302,P30,1005,0.006078,2,2,2,1
17370,encyclopaedia,Claude Bartolone,Q1096496,Russian,French,0.4125,0.3937,-0.0187,P103,7,0.002007,2,2,2,1
17460,encyclopaedia,Albany City Hall,Q3146112,Istanbul,Albany,0.318,0.568,0.25,P276,14,0.0,3,2,3,1
17495,encyclopaedia,Pennsylvania State Capitol,Q2915393,Microsoft,Pennsylvania,0.15,0.6758,0.5258,P127,89,0.000179,3,1,3,1
17748,encyclopaedia,Hephthalite Empire,Q26576,Christianity,Buddhism,0.2313,0.3812,0.15,P140,495,0.003792,2,1,2,1
17844,encyclopaedia,Zift,Q199310,Danish,Bulgarian,0.275,0.4583,0.1833,P364,7,0.0,2,2,2,1
17902,encyclopaedia,Greetje Kauffeld,Q508311,fantasy,jazz,0.1779,0.3824,0.2044,P136,3,0.00051,2,1,2,1
17939,encyclopaedia,Rustavi 2,Q594636,Italian,Georgian,0.1075,0.7,0.5925,P364,17,0.000429,3,1,3,1
17945,encyclopaedia,Congo Free State,Q76048,Antarctica,Africa,0.2671,0.5158,0.2487,P30,942,0.015666,3,2,3,1
18122,encyclopaedia,Pierre C. Cartier,Q7192113,Russian,French,0.1083,0.6542,0.5458,P1412,40,0.000135,3,1,3,1
18274,encyclopaedia,Mithat Bayrak,Q661466,French,Turkish,0.365,0.055,-0.31,P103,2,0.000517,1,2,1,1
18327,encyclopaedia,Palupera Rural Municipality,Q633663,Denmark,Estonia,0.1241,0.5574,0.4333,P17,0,0.002201,3,1,3,1
18392,encyclopaedia,Mohammed Iqbal Khan,Q13649920,Christianity,Islam,0.1357,0.6107,0.475,P140,178,9.2e-05,3,1,3,1
18449,encyclopaedia,Carl Lindhagen,Q55955,Amsterdam,Stockholm,0.8,0.0,-0.8,P937,2,0.013096,1,3,1,1
18469,encyclopaedia,Fraport Arena,Q384017,Leonardo,Frankfurt,0.0909,0.5909,0.5,P127,6,3.3e-05,3,1,3,1
18501,encyclopaedia,Otto von Guericke,Q60095,bishop,mayor,0.5,0.1625,-0.3375,P39,83,0.0,1,2,1,1
18503,encyclopaedia,Towers of London,Q522043,Sheffield,London,0.1187,0.8167,0.6979,P740,125,0.001163,3,1,3,1
18530,encyclopaedia,Brighton Centre,Q4967617,London,Brighton,0.1525,0.43,0.2775,P276,41,0.002032,2,1,3,1
18603,encyclopaedia,Pau Gasol,Q193052,football,basketball,0.1472,0.5333,0.3861,P641,770,0.008195,3,1,3,1
18904,encyclopaedia,Thieleman J. van Braght,Q7784006,French,Dutch,0.1462,0.6365,0.4904,P103,5,0.002147,3,1,3,1
18970,encyclopaedia,Joe Hildebrand,Q20739539,Canada,Australia,0.5509,0.0974,-0.4534,P495,0,0.019091,1,3,1,2
19050,encyclopaedia,Narrative Science,Q17183195,Denver,Chicago,0.77,0.105,-0.665,P159,9,0.020767,1,3,1,2
19334,encyclopaedia,Matija Gubec,Q715968,Italy,Croatia,0.1595,0.4702,0.3107,P19,31,0.007172,2,1,3,1
19366,encyclopaedia,Dublin lock-out,Q448920,Slovakia,Dublin,0.0741,0.5426,0.4685,P276,50,0.0,3,1,3,1
19399,encyclopaedia,Dave Winfield,Q5230137,soccer,baseball,0.2023,0.7295,0.5273,P641,10,0.02392,3,1,3,2
19427,encyclopaedia,Panama Francis,Q2048920,sitcom,jazz,0.1633,0.5533,0.39,P136,11,2.2e-05,3,1,3,1
19583,encyclopaedia,Nayef Hawatmeh,Q259190,London,Salt,0.2136,0.45,0.2364,P19,132,0.000587,2,1,3,1
19588,encyclopaedia,Christopher Paolini,Q93620,jazz,fantasy,0.1125,0.5417,0.4292,P136,478,0.0,3,1,3,1
19776,encyclopaedia,White Rabbits,Q126186348,London,Columbia,0.5444,0.1444,-0.4,P740,0,0.0006,1,3,1,1
19835,encyclopaedia,David Van Reybrouck,Q2490392,Spanish,Dutch,0.2297,0.3766,0.1469,P1412,69,0.002638,2,1,2,1
19902,encyclopaedia,BMW ActiveE,Q9642124,Nintendo,BMW,0.1864,0.5212,0.3348,P176,20,0.000325,3,1,3,1
19904,encyclopaedia,Adriana Lecouvreur,Q375063,French,Italian,0.6231,0.05,-0.5731,P364,45,0.002035,1,3,1,1
19981,encyclopaedia,Inayat Khan,Q117322850,Judaism,Islam,0.1176,0.6588,0.5412,P140,0,0.005627,3,1,3,1
20087,encyclopaedia,Clement X,Q155956,bishop,pope,0.3682,0.5477,0.1795,P39,40,0.039789,3,2,2,2
20186,encyclopaedia,Paul Anka,Q216563,guitar,piano,0.6559,0.1441,-0.5118,P1303,2872,0.025199,1,3,1,2
20410,encyclopaedia,Trinity Peninsula,Q2038835,Asia,Antarctica,0.1486,0.6957,0.5471,P30,19,0.007286,3,1,3,1
20601,encyclopaedia,Henry Warburton,Q113809044,Tamil,English,0.2294,0.5382,0.3088,P1412,0,0.010398,3,1,3,1
20756,encyclopaedia,Franz Xaver Gabelsberger,Q62137,Helsinki,Munich,0.4167,0.4667,0.05,P937,3,0.0,2,2,2,1
21061,encyclopaedia,Olsen Gang,Q1047863,English,Danish,0.205,0.4637,0.2588,P364,49,0.011872,2,1,3,1
21231,encyclopaedia,Anne Redpath,Q4768742,Frankfurt,Edinburgh,0.875,0.0375,-0.8375,P20,8,0.019292,1,3,1,2
21254,encyclopaedia,Montenegro,Q236,Asia,Europe,0.3653,0.4759,0.1106,P30,4479,0.047595,2,2,2,2
21323,encyclopaedia,Ross Barkley,Q326240,linebacker,midfielder,0.1769,0.5885,0.4115,P413,1194,0.0,3,1,3,1
21342,encyclopaedia,Soenario,Q4446092,Japan,Indonesia,0.55,0.0667,-0.4833,P27,15,0.000747,1,3,1,1
21346,encyclopaedia,ceviche,Q1057953,Japan,Peru,0.3245,0.2367,-0.0878,P495,1085,0.00528,1,2,2,1
21440,encyclopaedia,Lu Watters,Q1872759,trance,jazz,0.0889,0.5972,0.5083,P136,7,0.000104,3,1,3,1
21681,encyclopaedia,Frank Pembleton,Q5488954,Paris,Baltimore,0.5938,0.1,-0.4938,P937,134,0.0,1,3,1,1
21728,encyclopaedia,Gustave Geffroy,Q927796,Italian,French,0.1528,0.5722,0.4194,P103,6,0.00703,3,1,3,1
21759,encyclopaedia,Oleg Kotov,Q342338,English,Russian,0.2859,0.3719,0.0859,P103,5,0.011563,2,2,2,1
21867,encyclopaedia,Dominic Dierkes,Q5290518,politician,actor,0.1967,0.59,0.3933,P106,19,0.000111,3,1,3,1
21,information_not_credible_source_new,Argentine Football Association,Q496548,NATO,FIFA,0.4273,0.1591,-0.2682,P463,203,0.0,1,2,1,1
56,information_not_credible_source_new,Toyota Cresta,Q1815602,BMW,Toyota,0.2115,0.6192,0.4077,P176,194,0.006246,3,1,3,1
304,information_not_credible_source_new,Jari Kurri,Q363621,soccer,hockey,0.2267,0.5717,0.345,P641,101,0.022154,3,1,3,2
366,information_not_credible_source_new,New Bedford Whaling Museum,Q7005471,Dublin,Massachusetts,0.1412,0.6088,0.4676,P131,19,4.4e-05,3,1,3,1
378,information_not_credible_source_new,The Paradise Club,Q3895015,NBC,BBC,0.1404,0.4827,0.3423,P449,17,0.000905,2,1,3,1
514,information_not_credible_source_new,Comhar,Q5151720,French,Irish,0.1125,0.6225,0.51,P407,3,0.000138,3,1,3,1
551,information_not_credible_source_new,IBM Information Management System,Q1571984,Apple,IBM,0.2183,0.5267,0.3083,P178,33,0.003465,3,1,3,1
727,information_not_credible_source_new,Pianos Become the Teeth,Q4046943,Tokyo,Baltimore,0.2727,0.3318,0.0591,P740,35,2.7e-05,2,2,2,1
741,information_not_credible_source_new,Rock the Cradle,Q14645720,CBS,MTV,0.2357,0.55,0.3143,P449,0,0.000917,3,1,3,1
742,information_not_credible_source_new,Trey DePriest,Q7839585,midfielder,linebacker,0.375,0.2722,-0.1028,P413,12,0.001068,2,2,2,1
746,information_not_credible_source_new,Vitaly Margulis,Q91547338,singing,piano,0.1147,0.4588,0.3441,P1303,0,0.000726,2,1,3,1
747,information_not_credible_source_new,Yona Friedman,Q542741,Edinburgh,Budapest,0.3344,0.4094,0.075,P19,17,0.000118,2,2,2,1
816,information_not_credible_source_new,Julia Somerville,Q6306749,IBM,BBC,0.1306,0.525,0.3944,P108,44,0.0,3,1,3,1
871,information_not_credible_source_new,BBC Radio 4,Q795598,Microsoft,BBC,0.0969,0.6337,0.5367,P127,401,0.00065,3,1,3,1
893,information_not_credible_source_new,Chamillionaire,Q299132,London,Houston,0.25,0.4542,0.2042,P740,503,0.004487,2,1,2,1
982,information_not_credible_source_new,Windows Driver Frameworks,Q1067615,Apple,Microsoft,0.0987,0.4842,0.3855,P178,10,0.006501,2,1,3,1
1160,information_not_credible_source_new,Vijayawada Junction railway station,Q7929306,Peru,India,0.1671,0.4789,0.3118,P17,60,0.002515,2,1,3,1
1169,information_not_credible_source_new,John T. Mullock,Q6260059,mayor,bishop,1.0,0.0,-1.0,P39,2,0.0,1,3,1,1
1170,information_not_credible_source_new,Allersberg,Q588957,India,Germany,0.0167,0.7733,0.7567,P17,4,0.000812,3,1,3,1
1267,information_not_credible_source_new,Arvydas Sabonis,Q297750,football,basketball,0.0703,0.7041,0.6338,P641,799,0.008463,3,1,3,1
1421,information_not_credible_source_new,Silvio Orlando,Q677260,English,Italian,0.4229,0.2814,-0.1414,P1412,53,0.012828,2,2,2,1
1539,information_not_credible_source_new,Kannadasan,Q3519797,French,Tamil,0.254,0.392,0.138,P103,266,0.000486,2,1,2,1
1553,information_not_credible_source_new,Magic Johnson,Q134183,football,basketball,0.1879,0.5909,0.403,P641,4658,0.015803,3,1,3,1
1577,information_not_credible_source_new,Magnus Hirschfeld,Q57592,Edmonton,Berlin,0.163,0.4261,0.263,P937,1892,0.000183,2,1,3,1
1609,information_not_credible_source_new,Lisa Haydon,Q6558075,politician,actor,0.2795,0.4705,0.1909,P106,268,0.001001,2,2,2,1
1896,information_not_credible_source_new,Theobald Boehm,Q71003,Berlin,Munich,0.3536,0.6,0.2464,P937,30,4e-05,3,2,3,1
1949,information_not_credible_source_new,Mater Health Services,Q6786513,Chennai,Brisbane,0.1615,0.4615,0.3,P159,11,0.0,2,1,3,1
2157,information_not_credible_source_new,Kingdom of Bohemia,Q42585,Santiago,Prague,0.3769,0.2808,-0.0962,P36,1092,0.0,2,2,2,1
2165,information_not_credible_source_new,Carsten Dahl,Q38051142,London,Copenhagen,0.2393,0.3857,0.1464,P19,0,0.000624,2,1,2,1
2235,information_not_credible_source_new,Claudio Marchisio,Q179995,linebacker,midfielder,0.1769,0.5692,0.3923,P413,260,9e-06,3,1,3,1
2296,information_not_credible_source_new,Mistretta,Q37302227,Russian,Italian,0.18,0.338,0.158,P37,0,3e-06,2,1,2,1
2335,information_not_credible_source_new,Mathieu de Montmorency,Q351610,Italian,French,0.2125,0.4839,0.2714,P103,7,0.005758,2,1,3,1
2371,information_not_credible_source_new,Eduardo Duhalde,Q294578,French,Spanish,0.29,0.4675,0.1775,P103,110,0.003928,2,2,2,1
2403,information_not_credible_source_new,Ken Vandermark,Q1360707,opera,jazz,0.1509,0.437,0.2861,P136,15,0.000192,2,1,3,1
2417,information_not_credible_source_new,Louise Lawler,Q539270,Italian,English,0.1458,0.6125,0.4667,P1412,13,0.005185,3,1,3,1
2488,information_not_credible_source_new,Cool & Dre,Q1129658,Seattle,Miami,0.3792,0.5042,0.125,P740,143,0.0,2,2,2,1
2538,information_not_credible_source_new,Brisbane Airport,Q45523,Thor,Brisbane,0.2571,0.6196,0.3625,P138,346,0.0,3,1,3,1
2577,information_not_credible_source_new,Honda Civic Type R,Q748076,Microsoft,Honda,0.2736,0.525,0.2514,P176,1313,0.001254,3,2,3,1
2651,information_not_credible_source_new,Masahiko Nishimura,Q1078548,Italy,Japan,0.1054,0.4571,0.3518,P27,13,0.002022,2,1,3,1
2726,information_not_credible_source_new,Heather Fell,Q2399313,London,Plymouth,0.22,0.395,0.175,P19,10,0.004127,2,1,2,1
2852,information_not_credible_source_new,Jewish cemetery,Q846659,Buddhism,Judaism,0.4674,0.2826,-0.1848,P140,49,0.000298,2,2,2,1
2897,information_not_credible_source_new,IBM TopView,Q4891880,Square,IBM,0.3128,0.3674,0.0547,P178,59,0.00013,2,2,2,1
2931,information_not_credible_source_new,Captain Nice,Q3656937,CBS,NBC,0.6444,0.0333,-0.6111,P449,51,0.013306,1,3,1,1
2980,information_not_credible_source_new,PowerShell,Q840410,Apple,Microsoft,0.0716,0.65,0.5784,P178,454,0.004355,3,1,3,1
3013,information_not_credible_source_new,1862 Apollo,Q144927,Victoria,Apollo,0.0804,0.6348,0.5543,P138,52,0.000177,3,1,3,1
3046,information_not_credible_source_new,John Paul II,Q989,Dutch,Polish,0.1473,0.4932,0.3459,P103,6357,0.000366,2,1,3,1
3117,information_not_credible_source_new,Magnus Enckell,Q967073,Paris,Stockholm,0.65,0.0333,-0.6167,P20,14,0.005008,1,3,1,1
3152,information_not_credible_source_new,Charlemagne,Q19914524,Islam,Christianity,0.1357,0.5,0.3643,P140,0,0.000363,2,1,3,1
3315,information_not_credible_source_new,Alfonso Sastre,Q1210254,French,Spanish,0.1258,0.3952,0.2694,P1412,4,0.002956,2,1,3,1
3543,information_not_credible_source_new,Liverpool Hope University,Q1818020,Paris,Liverpool,0.325,0.5656,0.2406,P159,46,0.000439,3,2,3,1
3583,information_not_credible_source_new,Fernandel,Q129092,Copenhagen,Paris,0.0,0.4417,0.4417,P20,79,0.0,2,1,3,1
3642,information_not_credible_source_new,Yehoshafat Harkabi,Q2561928,Libya,Jerusalem,0.325,0.3167,-0.0083,P20,15,0.0,2,2,2,1
3699,information_not_credible_source_new,Edmond S. Meany,Q5338911,London,Seattle,0.95,0.0,-0.95,P20,3,9.7e-05,1,3,1,1
3718,information_not_credible_source_new,Windows Vista,Q11230,Apple,Microsoft,0.1194,0.698,0.5786,P178,1281,0.007457,3,1,3,1
3740,information_not_credible_source_new,Jean-Pierre Vernant,Q472206,economics,anthropology,0.1667,0.5417,0.375,P101,23,0.000219,3,1,3,1
3801,information_not_credible_source_new,Yakov Sverdlov,Q298384,Italian,Russian,0.2268,0.5304,0.3036,P1412,489,0.000929,3,1,3,1
3879,information_not_credible_source_new,Biscoe Islands,Q866276,Europe,Antarctica,0.1541,0.5746,0.4205,P30,2,0.018862,3,1,3,2
3918,information_not_credible_source_new,The Sandy Duncan Show,Q7762247,BBC,CBS,0.6192,0.2077,-0.4115,P449,41,0.000591,1,3,1,1
3973,information_not_credible_source_new,Cock Sparrer,Q600311,Glasgow,London,0.2016,0.4565,0.2548,P740,109,0.0,2,1,3,1
4047,information_not_credible_source_new,Nigun,Q1989725,Christian,Judaism,0.35,0.0,-0.35,P140,55,0.0,1,2,1,1
4148,information_not_credible_source_new,Scotiabank Saddledome,Q1140083,Google,Calgary,0.1014,0.5595,0.4581,P127,423,0.001857,3,1,3,1
4173,information_not_credible_source_new,Transaction Processing Facility,Q1426122,Google,IBM,0.2021,0.3146,0.1125,P178,24,0.003626,2,1,2,1
4187,information_not_credible_source_new,Magalir Mattum,Q6729637,Indonesian,Tamil,0.2364,0.5545,0.3182,P364,93,0.0,3,1,3,1
4289,information_not_credible_source_new,Drake Well,Q5305631,California,Pennsylvania,0.1023,0.5012,0.3988,P131,51,0.00299,2,1,3,1
4297,information_not_credible_source_new,U2,Q396,India,Ireland,0.1583,0.4319,0.2736,P495,2900,0.000471,2,1,3,1
4305,information_not_credible_source_new,Google Keep,Q125499774,Nintendo,Google,0.2321,0.5518,0.3196,P178,0,0.006307,3,1,3,1
4449,information_not_credible_source_new,Sven Elvestad,Q3498167,Catalan,Norwegian,0.26,0.505,0.245,P1412,4,0.064549,2,2,3,2
4579,information_not_credible_source_new,Jack Sheldon,Q1677210,piano,trumpet,0.35,0.3806,0.0306,P1303,99,0.010145,2,2,2,1
4660,information_not_credible_source_new,Toyopet Master,Q7830710,Renault,Toyota,0.1483,0.481,0.3328,P176,35,0.000491,2,1,3,1
4679,information_not_credible_source_new,Hec Ramsey,Q2578173,HBO,NBC,0.2222,0.3722,0.15,P449,47,0.001606,2,1,2,1
4726,information_not_credible_source_new,Dogg After Dark,Q5288343,CBS,MTV,0.3364,0.4,0.0636,P449,3,0.000202,2,2,2,1
4752,information_not_credible_source_new,Gustave de Beaumont,Q326145,Latin,French,0.1608,0.5716,0.4108,P103,14,0.006472,3,1,3,1
4779,information_not_credible_source_new,Kaniv Reservoir,Q1551994,Vietnam,Ukraine,0.0923,0.4846,0.3923,P17,2,0.000453,2,1,3,1
4983,information_not_credible_source_new,Beacon Street Union,Q4875989,Chicago,Boston,0.1105,0.7026,0.5921,P740,12,0.000523,3,1,3,1
5201,information_not_credible_source_new,Phoebe Atwood Taylor,Q2088428,Rome,Boston,0.2143,0.4643,0.25,P19,10,1.5e-05,2,1,3,1
5324,information_not_credible_source_new,Circa Survive,Q603579,Naples,Philadelphia,0.3042,0.2958,-0.0083,P740,223,0.0,2,2,2,1
5338,information_not_credible_source_new,Ryszard Engelking,Q737661,France,Poland,0.7857,0.0,-0.7857,P27,2,0.000712,1,3,1,1
5343,information_not_credible_source_new,The Rockford Files,Q283660,HBO,NBC,0.2735,0.3088,0.0353,P449,622,0.0,2,2,2,1
5346,information_not_credible_source_new,Snow Country,Q1376060,Canada,Japan,0.54,0.0312,-0.5088,P495,164,0.00908,1,3,1,1
5372,information_not_credible_source_new,Mount Weaver,Q6924529,Asia,Antarctica,0.0395,0.4632,0.4237,P30,0,0.001001,2,1,3,1
5464,information_not_credible_source_new,Cayeux-sur-Mer,Q1024720,Iran,France,0.1304,0.7957,0.6652,P17,5,0.0,3,1,3,1
5638,information_not_credible_source_new,Bucharest,Q19660,Warsaw,Budapest,0.0167,0.3833,0.3667,P190,1682,0.0,2,1,3,1
5643,information_not_credible_source_new,sheikh,Q37560340,Buddhism,Islam,0.4188,0.4688,0.05,P140,11,0.015237,2,2,2,1
5682,information_not_credible_source_new,Penclawdd,Q3381195,Ohio,Swansea,0.2405,0.5167,0.2762,P131,14,0.0,3,1,3,1
5703,information_not_credible_source_new,The Denver Dry Goods Company,Q7729741,Barcelona,Denver,0.3265,0.5294,0.2029,P159,9,0.000186,3,2,2,1
5733,information_not_credible_source_new,Blake Mills,Q4924438,Dublin,California,0.2,0.65,0.45,P19,242,0.000811,3,1,3,1
5746,information_not_credible_source_new,John Harkes,Q936196,quarterback,midfielder,0.2179,0.4929,0.275,P413,84,0.000208,2,1,3,1
5791,information_not_credible_source_new,The Dick Van Dyke Show,Q530706,HBO,CBS,0.4679,0.3464,-0.1214,P449,704,0.0,2,2,2,1
5801,information_not_credible_source_new,Alex Sipiagin,Q354016,trance,jazz,0.1233,0.5221,0.3988,P136,10,2.4e-05,3,1,3,1
5896,information_not_credible_source_new,Uromi,Q3510262,Canada,Nigeria,0.5418,0.0991,-0.4427,P17,25,0.014546,1,3,1,1
5955,information_not_credible_source_new,John Glynn,Q6235549,Hindi,English,0.0553,0.5053,0.45,P1412,4,0.001255,2,1,3,1
5999,information_not_credible_source_new,Google Code Search,Q664672,Sony,Google,0.0578,0.6294,0.5716,P127,10,0.002114,3,1,3,1
6347,information_not_credible_source_new,Yuvraj Hans,Q8062173,astronaut,actor,0.3444,0.3083,-0.0361,P106,51,0.000227,2,2,2,1
6354,information_not_credible_source_new,Ice Road Truckers,Q702432,CBS,History,0.05,0.4654,0.4154,P449,559,0.005496,2,1,3,1
6364,information_not_credible_source_new,Toyota Toyoace,Q7830891,Jeep,Toyota,0.1905,0.4619,0.2714,P176,54,0.002058,2,1,3,1
6398,information_not_credible_source_new,Amreli district,Q257946,Wyoming,Gujarat,0.2024,0.3786,0.1762,P131,28,0.000246,2,1,2,1
6465,information_not_credible_source_new,Joseph Henry Blackburne,Q352459,Athens,London,0.0,0.5182,0.5182,P20,24,1.5e-05,3,1,3,1
6481,information_not_credible_source_new,Microsoft Schedule Plus,Q1892515,Apple,Microsoft,0.1544,0.5985,0.4441,P178,0,0.004805,3,1,3,1
6484,information_not_credible_source_new,Reinbolt Hills,Q7310266,Europe,Antarctica,0.4083,0.3056,-0.1028,P30,0,0.003538,2,2,2,1
6527,information_not_credible_source_new,David Friesen,Q1174470,disco,jazz,0.1382,0.5265,0.3882,P136,86,0.000868,3,1,3,1
6531,information_not_credible_source_new,Gregory XII,Q227694,bishop,pope,0.4031,0.6281,0.225,P39,79,0.041928,3,2,2,2
6646,information_not_credible_source_new,Clement II,Q58573,mayor,pope,0.1594,0.6281,0.4688,P39,37,0.0,3,1,3,1
6682,information_not_credible_source_new,Mohammad Najibullah,Q207728,Athens,Kabul,0.1706,0.4412,0.2706,P20,677,1.1e-05,2,1,3,1
6821,information_not_credible_source_new,"Greg Lloyd, Sr.",Q5605922,pitcher,linebacker,0.1944,0.5722,0.3778,P413,73,0.0,3,1,3,1
6874,information_not_credible_source_new,Heikki Siren,Q3129431,English,Finnish,0.4536,0.2821,-0.1714,P1412,1,0.0117,2,2,2,1
7054,information_not_credible_source_new,Edmund Neupert,Q2981182,trumpet,piano,0.25,0.7125,0.4625,P1303,2,0.008061,3,1,3,1
7139,information_not_credible_source_new,Sayyid Qutb,Q211379,Christianity,Islam,0.2222,0.4611,0.2389,P140,508,0.00063,2,1,3,1
